Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-02,263.38,266.75,262.49,265.02,2098520.0,0.0,1.0,65.144801045941,65.978341859689,64.92466712183601,65.550441085866,8394080.0
2015-01-05,263.49,263.4999,258.8652,259.17,3187800.0,0.0,1.0,65.172008609595,65.174457290324,64.028103697007,64.10349338247599,12751200.0
2015-01-06,259.79,260.78,254.855,257.5,2767523.0,0.0,1.0,64.256845104887,64.501713177768,63.036214862797,63.690433097919,11070092.0
2015-01-07,258.44,261.14,257.45,260.95,2336705.0,0.0,1.0,63.922934096412,64.590756113361,63.678066023530995,64.543761230687,9346820.0
2015-01-08,263.2,265.12,262.63,264.45,2610864.0,0.0,1.0,65.10027957814499,65.575175234642,64.959294930122,65.409456437843,10443456.0
2015-01-09,263.61,264.468,259.7705,260.53,2603223.0,0.0,1.0,65.201689588126,65.413908584623,64.252021945876,64.439877805828,10412892.0
2015-01-12,261.04,262.0,259.14,260.02,1605964.0,0.0,1.0,64.566021964586,64.803469792834,64.096073137844,64.313733647071,6423856.0
2015-01-13,262.02,265.81,259.11,260.78,2596717.0,0.0,1.0,64.808416622589,65.745840861196,64.088652893211,64.501713177768,10386868.0
2015-01-14,256.64,258.6,254.12,255.56,3056305.0,0.0,1.0,63.477719418446,63.962508734454005,62.854418869294,63.210590611667,12225220.0
2015-01-15,256.71,257.47,252.36,253.13,2644948.0,0.0,1.0,63.495033322588995,63.683012853286,62.419097850838,62.609550796413004,10579792.0
2015-01-16,251.9,255.1,251.5,254.95,2784286.0,0.0,1.0,62.305320766469,63.096813527298,62.206384171366,63.059712304133996,11137144.0
2015-01-20,256.22,259.69,254.26,256.84,3733426.0,0.0,1.0,63.373835993588,64.232110956111,62.889046677580005,63.527187715998004,14933704.0
2015-01-21,256.16,259.63,254.5,257.28,2445971.0,0.0,1.0,63.358995504322,64.217270466845,62.948408634642,63.636017970612,9783884.0
2015-01-22,255.45,259.0,253.37,257.6,2891450.0,0.0,1.0,63.183383048013,64.061445329557,62.668912753475,63.715167246695,11565800.0
2015-01-23,258.52,260.65,258.18,258.29,1541645.0,0.0,1.0,63.942721415433,64.46955878436,63.858625309595006,63.885832873248994,6166580.0
2015-01-26,256.94,257.29,253.8,256.53,2138106.0,0.0,1.0,63.551921864773995,63.63849138549,62.775269593211,63.45051185479299,8552424.0
2015-01-27,253.79,253.79,248.58,250.99,2756937.0,0.0,1.0,62.772796178332996,62.772796178332996,61.48414702711,62.080240012608,11027748.0
2015-01-28,252.53,253.01,246.3,246.36,2856490.0,0.0,1.0,62.461145903757,62.579869817881004,60.920208435019,60.935048924285,11425960.0
2015-01-29,247.53,248.8,245.17,248.0,3901521.0,0.0,1.0,61.224438464963,61.538562154416,60.640712553852,61.340688964209,15606084.0
2015-01-30,260.4,263.6182,254.91,254.91,5535563.0,0.0,1.0,64.40772341242,65.203717788326,63.049818644623,63.049818644623,22142252.0
2015-02-02,256.31,256.31,249.7,255.34,3416746.0,0.0,1.0,63.396096727486,63.396096727486,61.761169493399,63.15617548436,13666984.0
2015-02-03,256.71,260.45,254.74,259.79,3768879.0,0.0,1.0,63.495033322588995,64.42009048680801,63.007770591703995,64.256845104887,15075516.0
2015-02-04,259.59,266.73,259.1,264.89,5542533.0,0.0,1.0,64.207376807335,65.973395029934,64.086179478333,65.518286692457,22170132.0
2015-02-05,267.25,271.8,265.9,271.8,4140954.0,0.0,1.0,66.102012603568,67.227416372871,65.76810159509401,67.227416372871,16563816.0
2015-02-06,271.75,272.45,266.04,267.42,2810472.0,0.0,1.0,67.215049298483,67.388188339915,65.80272940338,66.144060656487,11241888.0
2015-02-09,267.41,268.34,265.28,265.46,1958581.0,0.0,1.0,66.14158724161,66.371614825226,65.614749872683,65.65927134048,7834324.0
2015-02-10,266.75,267.87,263.6268,264.55,2349249.0,0.0,1.0,65.978341859689,66.255364325979,65.20584492511999,65.434190586619,9396996.0
2015-02-11,264.98,266.3,264.25,265.99,2198674.0,0.48,1.0,65.658820529723,65.98590047198,65.477935410141,65.909086243116,8794696.0
2015-02-12,267.62,270.91,267.06,270.91,2910448.0,0.0,1.0,66.312980414237,67.128202391529,66.17421922661299,67.128202391529,11641792.0
2015-02-13,272.75,272.75,268.78,269.63,2119376.0,0.0,1.0,67.584132008008,67.584132008008,66.600414302887,66.811033962673,8477504.0
2015-02-17,271.48,271.99,269.87,270.87,1702847.0,0.0,1.0,67.269441457503,67.395813253375,66.870503043084,67.118290878127,6811388.0
2015-02-18,270.87,271.0,268.15,269.12,1604780.0,0.0,1.0,67.118290878127,67.15050329668199,66.44430796681,66.684662166801,6419120.0
2015-02-19,270.07,270.07,268.0,269.1,1413601.0,0.0,1.0,66.920060610092,66.920060610092,66.407139791553,66.6797064101,5654404.0
2015-02-20,269.04,273.0,267.06,273.0,2258348.0,0.0,1.0,66.664839139998,67.646078966769,66.17421922661299,67.646078966769,9033392.0
2015-02-23,272.96,273.32,270.25,273.01,1663458.0,0.0,1.0,67.63616745336701,67.725371073982,66.9646624204,67.648556845119,6653832.0
2015-02-24,273.81,273.81,271.17,272.47,2262294.0,0.0,1.0,67.84678711315401,67.84678711315401,67.19262722864,67.514751414196,9049176.0
2015-02-25,271.26,274.23,271.26,273.01,1710716.0,0.0,1.0,67.214928133794,67.950858003872,67.214928133794,67.648556845119,6842864.0
2015-02-26,273.2,274.5,272.02,273.75,3364428.0,0.0,1.0,67.695636533777,68.017760719333,67.403246888426,67.83191984305101,13457712.0
